"robot_sim.position.x","robot_sim.position.y","robot_sim.position.z"
-3.716267,0.5750058,0.182854
-3.716376,0.5750005,0.1828092
-3.716422,0.5749996,0.182784
-3.716328,0.5749995,0.1828291
-3.716385,0.5749945,0.1828267
-3.71631,0.5749997,0.1828607
-3.716289,0.5750017,0.1828608
-3.716442,0.5750005,0.1827905
-3.716397,0.5749997,0.1827951
-3.71633,0.5750059,0.1828144
-3.716436,0.5750005,0.1827656
-3.716392,0.5749998,0.1827796
-3.716468,0.5750005,0.1827562
-3.716514,0.5749993,0.1827357
-3.716406,0.5749997,0.1827729
-3.716372,0.5749999,0.1827904
-3.716335,0.5749997,0.1828255
-3.716424,0.575002,0.1827955
-3.716366,0.5749997,0.1828014
-3.716345,0.5750017,0.1827973
-3.716486,0.5750005,0.1827312
-3.71648,0.5749996,0.182722
-3.716379,0.5749997,0.1827537
-3.716455,0.5750005,0.1827162
-3.716547,0.5750005,0.1826675
-3.716501,0.5749987,0.1826834
-3.716474,0.5750005,0.1826909
-3.716525,0.5749988,0.1826584
-3.716416,0.5749997,0.1826918
-3.716369,0.5750006,0.1827027
-3.716419,0.5750005,0.1826803
-3.716504,0.5750005,0.1826449
-3.716496,0.5749946,0.182646
-3.716411,0.5750006,0.1826873
-3.716538,0.5750048,0.1826428
-3.716465,0.5749997,0.1826643
-3.716508,0.5750006,0.1826353
-3.716642,0.5750005,0.1825743
-3.716622,0.5749997,0.1825751
-3.716588,0.5749997,0.1825911
-3.71652,0.5749997,0.1826218
-3.71646,0.5749997,0.1826513
-3.716478,0.5750006,0.1826426
-3.716566,0.5750005,0.1825991
-3.716668,0.5750005,0.1825586
-3.716693,0.5749993,0.1825509
-3.716561,0.5749997,0.1825972
-3.71659,0.5749999,0.1825413
-3.716508,0.5750005,0.1825346
-3.716597,0.5749947,0.1824757
-3.716522,0.5749997,0.1824922
-3.716501,0.5750017,0.182491
-3.716601,0.5750005,0.1824356
-3.716658,0.5749998,0.182399
-3.716521,0.5749997,0.1824514
-3.716547,0.5750007,0.1824276
-3.716681,0.5750005,0.1823646
-3.716622,0.5749997,0.1823721
-3.716623,0.5750021,0.1823858
-3.716522,0.5749997,0.1824389
-3.7165,0.5750017,0.1824444
-3.716513,0.5749997,0.1824492
-3.716355,0.5749932,0.1825334
-3.716204,0.5749948,0.1826246
-3.71598,0.5749971,0.1827758
-3.715759,0.5749998,0.1829354
-3.715291,0.5749992,0.1833719
-3.706349,0.5750169,0.1811247
-3.705875,0.575012,0.1810582
-3.705413,0.5750081,0.18099
-3.704931,0.5750124,0.1809217
-3.704569,0.5750081,0.1808397
-3.704208,0.5750081,0.1807565
-3.703642,0.575012,0.1807014
-3.703026,0.575033,0.180639
-3.702452,0.5750309,0.1805874
-3.701998,0.5750119,0.1805197
-3.701432,0.5750116,0.1804539
-3.701059,0.5750329,0.1803723
-3.700538,0.575008,0.180318
-3.699985,0.5750119,0.1802504
-3.699632,0.575008,0.1801713
-3.699181,0.575008,0.1801044
-3.698719,0.575012,0.1800248
-3.698175,0.575012,0.1799582
-3.697508,0.5750082,0.1799092
-3.696966,0.5750116,0.1798422
-3.696353,0.5750124,0.1797949
-3.695966,0.5750317,0.1797197
-3.69544,0.5750317,0.1796533
-3.694913,0.5750326,0.1795865
-3.694506,0.5750079,0.1795205
-3.694256,0.5750079,0.1794421
-3.693831,0.5750119,0.1793736
-3.693315,0.575012,0.1793071
-3.692971,0.575008,0.1792315
-3.692557,0.5750078,0.1791644
-3.691972,0.5750117,0.1791065
