"robot_sim.position.x","robot_sim.position.y","robot_sim.position.z","robot_sim.direction.x","robot_sim.direction.y","robot_sim.direction.z"
-3.638015,0.5749927,0.1510032,-0.001311985,221.4272,-0.0009861029
-3.638276,0.5749967,0.1510245,0.0004415463,221.7362,-0.001250806
-3.638503,0.5750058,0.1510926,0.001503126,223.5933,0.0004878621
-3.638583,0.5750002,0.151184,-0.0001282945,226.6514,-0.0003587723
-3.638503,0.5749997,0.1511054,-0.0001546884,224.3232,0.00005329449
-3.63845,0.5749953,0.1510528,0.008657628,222.9725,359.9879
-3.638457,0.5750058,0.1510599,0.001488767,223.4928,0.0004943755
-3.638522,0.5750121,0.1509742,0.002407818,221.7407,0.001719251
-3.638819,0.5750017,0.1510625,0.0005342202,224.1693,0.0001168172
-3.638976,0.5750008,0.1511426,0.0003745674,224.0568,0.000005110709
-3.63922,0.5750005,0.151255,0.0003147454,226.246,-0.00006597975
-3.639442,0.5749969,0.1513258,-0.00007662342,227.3951,-0.0006155323
-3.639888,0.5750004,0.1513871,0.0003022141,228.2366,-0.0000751112
-3.639863,0.5750005,0.1513261,0.0003146563,225.985,-0.00005823602
-3.639915,0.5750004,0.1514272,0.0003058686,227.6116,-0.00007685897
-3.640061,0.5750004,0.1514284,0.0003048393,226.2355,-0.00007815475
-3.640283,0.5749899,0.151406,-0.003161966,224.3725,0.0002046203
-3.6406,0.5749972,0.1515188,-0.0005991311,227.4246,-0.0002556936
-3.640824,0.57499,0.1514921,-0.00414251,225.9726,0.001124015
-3.641135,0.5749901,0.1515227,-0.001849967,225.7793,-0.001340066
-3.640924,0.5749979,0.151453,-0.0004932673,223.407,-0.0001817132
-3.640868,0.5749975,0.151375,-0.000201136,220.7277,-0.0002042886
-3.641044,0.5750026,0.1514515,0.0006524113,223.591,0.0003063444
-3.640748,0.5749997,0.1512666,-0.0003227326,217.1898,0.0004456927
-3.639924,0.5749997,0.1507275,-0.0001809663,177.5133,0.00009942436
-3.63835,0.5749998,0.1526981,-0.0001551787,102.507,0.00008320379
-3.632462,0.5750332,0.1643183,359.9799,36.57449,0.03528241
-3.596719,0.575031,0.236472,359.993,35.00413,0.006030013
-3.54559,0.5750308,0.3138089,359.9856,37.2314,0.0164853
-3.466614,0.5750313,0.4155512,359.9853,37.26895,0.01754924
-3.365312,0.5750315,0.5431049,359.9852,37.30485,0.01785198
-3.248402,0.5750315,0.6897261,359.9852,37.33812,0.01781078
-3.106126,0.5750322,0.8666555,359.9911,45.57129,0.007043836
-2.947635,0.5750323,1.034901,359.9899,50.00068,0.008612727
-2.792524,0.5750372,1.160663,0.006299294,87.85719,0.006503587
-2.66873,0.5750004,1.229289,0.000330799,124.4395,-0.00008394701
-2.580104,0.5750054,1.280196,-0.001149101,197.8689,0.007460756
-2.566772,0.5749999,1.30249,-0.000124395,205.6459,0.00008945543
-2.567741,0.575,1.312866,0.0002610112,207.9931,-0.0001511742
-2.567328,0.5750004,1.31493,0.0003129008,202.6269,-0.00007804377
-2.567473,0.5750004,1.315048,0.0003079129,205.7865,-0.00008487162
-2.567451,0.5750169,1.315046,0.001594358,205.2827,0.003202545
-2.567388,0.5750005,1.315023,-0.00009148635,203.7946,0.0002054256
-2.567286,0.5749998,1.314985,-0.0001451439,201.3705,0.00008544025
-2.567291,0.574999,1.314991,0.0001668898,201.4893,-0.0003831744
-2.567284,0.5749998,1.314981,-0.0001501993,201.1312,0.00008644971
-2.567257,0.5749948,1.314973,-0.0003319662,200.5587,-0.001389197
-2.567387,0.5750004,1.315027,0.0003112529,203.6693,-0.0000788341
