"robot_sim.position.x","robot_sim.position.y","robot_sim.position.z"
-3.477535,0.5750451,0.1453732
-3.474205,0.5750111,0.1455022
-3.469925,0.5750453,0.1456857
-3.458819,0.5750386,0.1459639
-3.455841,0.5750123,0.1460791
-3.445564,0.5750454,0.1463152
-3.440027,0.575045,0.1464599
-3.437753,0.5750126,0.1465424
-3.435945,0.5750104,0.1466082
-3.43298,0.5750114,0.1467378
-3.429854,0.5750322,0.1468743
-3.426819,0.5750446,0.1470104
-3.424233,0.5750422,0.1471099
-3.418033,0.5750101,0.1472832
-3.41573,0.5750359,0.147381
-3.406094,0.5750346,0.1476875
-3.402918,0.5750099,0.1478371
-3.400029,0.5750451,0.1479795
-3.395011,0.575037,0.1481326
-3.386673,0.575045,0.148371
-3.379715,0.5750451,0.1485993
-3.376841,0.575016,0.1487094
-3.374773,0.5750448,0.148797
-3.367247,0.5750098,0.149033
-3.361052,0.5750145,0.1492768
-3.358745,0.5750451,0.1493854
-3.347694,0.5750455,0.149708
-3.339809,0.5750452,0.1499379
-3.336393,0.5750217,0.1500821
-3.334657,0.5750411,0.1501473
-3.33277,0.5750442,0.1502265
-3.328736,0.5750126,0.1503856
-3.324982,0.5750093,0.1505628
-3.322914,0.5750337,0.1506242
-3.317605,0.5750448,0.1508561
-3.295908,0.5750452,0.1512636
-3.244782,0.5750289,0.1453314
-3.156751,0.5750312,0.1084854
-3.02601,0.5750314,0.04931376
-2.851851,0.5750315,-0.0304228
-2.634165,0.5750315,-0.1304574
-2.372934,0.5750315,-0.2507474
-2.10405,0.5750304,-0.3782703
-1.853908,0.5750031,-0.529783
-1.671075,0.5750286,-0.6457066
-1.624281,0.575008,-0.6925142
-1.668795,0.5750325,-0.6925746
-1.713573,0.5750013,-0.6875302
-1.721637,0.5749997,-0.6871919
-1.721965,0.5749992,-0.6871894
-1.721928,0.5749997,-0.6872028
-1.72183,0.5750005,-0.6868832
-1.72864,0.5750237,-0.6842833
-1.742474,0.5750303,-0.6834421
-1.743153,0.5750521,-0.6833138
-1.743917,0.5750074,-0.6832116
-1.744546,0.5750293,-0.6830973
-1.745049,0.575013,-0.6830076
-1.745772,0.5750074,-0.682906
-1.746392,0.5750314,-0.6827981
-1.746772,0.5750538,-0.6827081
-1.74744,0.5750517,-0.6826125
-1.748006,0.5750301,-0.6825309
-1.748399,0.575013,-0.6824285
-1.748827,0.5750446,-0.6823247
-1.749379,0.5750134,-0.6821963
-1.749878,0.5750133,-0.6820946
-1.753927,0.575048,-0.6821257
-1.762644,0.5750447,-0.6822966
-1.771957,0.5750543,-0.6823484
-1.783546,0.5750586,-0.6820931
-1.793652,0.5750611,-0.6814472
-1.798011,0.5750448,-0.6807014
-1.798466,0.5750473,-0.6805035
-1.798949,0.5750461,-0.680291
-1.79943,0.5750461,-0.680079
-1.799912,0.5750461,-0.6798667
-1.800394,0.5750461,-0.6796547
-1.800849,0.5750474,-0.6794625
-1.801331,0.5750461,-0.6792513
-1.801813,0.5750461,-0.6790417
-1.805884,0.5750607,-0.6784711
-1.809378,0.5750923,-0.6780772
-1.816691,0.5750633,-0.6762748
-1.822958,0.5750586,-0.6757467
