"robot_vr.position.x","robot_vr.position.y","robot_vr.position.z","robot_vr.direction.x","robot_vr.direction.y","robot_vr.direction.z"
-0.04136574,0.5972139,0.06348526,0.03291032,359.9817,359.9785
-0.04136574,0.5972139,0.06348526,0.03291032,359.9817,359.9785
-0.04167509,0.5968457,0.06322157,0.03055743,359.9834,359.9928
-0.04162478,0.5966679,0.06315374,0.02907677,359.9819,359.9714
-0.03765643,0.5991303,0.001188993,358.898,0.7248967,359.504
-0.06102061,0.5905694,-0.08673358,0.2051731,342.4365,0.1167542
-0.04770756,0.5878707,-0.1031946,0.9711064,350.9351,0.5237417
-0.03049767,0.5906546,-0.1228817,0.01594887,9.299756,0.1884105
-0.01586735,0.5927552,-0.1441679,359.7859,23.29902,359.2588
-0.03172743,0.5958381,-0.1441874,359.8723,9.689006,359.4192
-0.05277324,0.5967562,-0.1370551,0.5538717,348.7267,0.1901321
-0.03974569,0.5969,-0.1323716,0.01351687,1.595162,359.9694
-0.05583799,0.596779,-0.1343128,0.4422267,349.2335,0.03435733
-0.07628429,0.5945613,-0.1333107,1.565214,330.3194,0.3812609
-0.1008207,0.5933679,-0.138874,2.044086,308.8487,0.5135538
-0.0927527,0.5951575,-0.1250039,1.850307,320.323,0.6378354
-0.1075902,0.5899241,-0.1419757,2.048359,305.6153,0.411346
-0.124275,0.5894021,-0.1550294,2.820822,284.563,0.129425
-0.1368512,0.5884945,-0.1786435,3.402143,261.0356,359.7938
-0.1408794,0.5873607,-0.2045874,3.939917,239.6846,359.052
-0.1384553,0.5879582,-0.2297544,3.695701,219.5833,358.2655
-0.1265695,0.5879631,-0.251303,3.558036,197.2814,357.5813
-0.1265695,0.5879631,-0.251303,3.558036,197.2814,357.5813
-0.1059536,0.58692,-0.2654109,3.390274,174.3912,357.1236
-0.1217629,0.5875827,-0.270725,3.554544,186.3154,357.4753
-0.1375507,0.5870347,-0.2640755,3.442452,201.3266,357.8268
-0.153672,0.5872904,-0.2466109,3.628032,223.1303,358.6278
-0.1608762,0.5882387,-0.223215,3.287317,246.3053,359.2902
-0.1821548,0.5867578,-0.2374724,3.350106,245.5099,359.4718
-0.2946464,0.5843085,-0.3026732,3.248637,243.4358,358.9103
-0.4274007,0.5793154,-0.3853556,3.573351,241.7375,359.5827
-0.5509121,0.5754465,-0.4703735,3.686745,240.0925,359.1059
-0.6743352,0.5750753,-0.5573497,2.486145,238.7639,358.9584
-0.6743352,0.5750753,-0.5573497,2.486145,238.7639,358.9584
-0.7388101,0.5690995,-0.639765,4.29414,215.9875,358.3263
-0.7253741,0.5685494,-0.6723959,3.460263,185.9691,357.2637
-0.7389548,0.5687649,-0.6683213,3.562196,200.1072,357.3169
-0.7431188,0.5680487,-0.6646546,3.693014,205.9987,357.6952
-0.7431188,0.5680487,-0.6646546,3.693014,205.9987,357.6952
-0.7183954,0.5691957,-0.6018423,3.339972,206.3906,358.2378
-0.7161356,0.5730478,-0.5092497,2.945873,227.4397,358.7098
-0.7060243,0.5746658,-0.463072,2.657192,250.3917,359.1111
-0.6863036,0.575036,-0.4351067,2.843646,267.568,359.498
-0.6612286,0.5768392,-0.4175332,2.333975,283.4218,359.5477
-0.6323431,0.5772649,-0.4070106,2.073413,299.117,359.7785
-0.6010758,0.5777135,-0.4058807,1.618954,314.6514,359.8643
-0.5724235,0.578145,-0.4114233,1.4067,329.3628,0.07014433
-0.5477406,0.5784905,-0.4249269,0.8457652,343.7188,359.6396
-0.5360827,0.5788926,-0.4200397,359.0067,352.4218,359.4842
-0.5653217,0.581488,-0.3029144,0.4254006,350.7441,359.6269
-0.6026585,0.5839342,-0.1635227,0.3258672,349.0933,0.4592261
-0.6454862,0.586861,-0.02126956,0.09347329,347.7013,359.853
-0.6907306,0.5871861,0.1219561,0.6961878,346.2276,359.203
-0.7401855,0.5887305,0.263816,1.336381,345.0758,359.7299
-0.7911521,0.5867031,0.408429,0.1645727,343.6258,359.797
-0.8473448,0.59366,0.5466552,0.9690586,342.4228,359.8768
-0.9068784,0.5935017,0.6855884,1.541233,341.6896,359.8894
-0.9675949,0.5964046,0.822845,0.5163026,340.2266,359.5875
-1.030897,0.6008451,0.9599733,0.4530516,338.8136,0.2413931
-1.030897,0.6008451,0.9599733,0.4530516,338.8136,0.2413931
-1.050308,0.6012866,1.056043,0.7121687,359.4933,0.06123786
-1.01996,0.605247,1.064529,359.3097,32.06542,358.8431
-1.003617,0.6041685,1.046342,359.5519,56.29408,357.9391
-1.009557,0.6050358,1.040452,359.5389,62.07409,358.0573
-1.017821,0.6054348,1.058116,359.5264,42.65471,358.3801
-1.031434,0.6051469,1.075558,359.8227,20.98362,359.0058
-1.035938,0.6053258,1.084923,359.6187,13.39774,359.5072
-1.020857,0.6061068,1.074851,359.7863,30.22959,358.6949
-1.010948,0.6069078,1.055615,359.8311,46.07051,358.2834
-1.01793,0.6045872,1.051938,359.9152,47.88873,358.7017
-1.03178,0.6064469,1.063615,359.5744,27.99101,358.8808
-1.032253,0.6063938,1.071604,359.4824,22.23975,359.077
-1.021396,0.6062516,1.06185,359.8335,34.71003,358.7278
-1.017572,0.6070323,1.053702,359.7723,41.81704,358.5069
-1.017572,0.6070323,1.053702,359.7723,41.81704,358.5069
-1.029042,0.6056135,1.065097,359.7615,28.48351,358.6732
