"robot_vr.position.x","robot_vr.position.y","robot_vr.position.z","robot_vr.direction.x","robot_vr.direction.y","robot_vr.direction.z"
-0.01706636,0.6093823,-0.02438772,0.01413618,359.9774,0.004640639
-0.01697004,0.6094192,-0.02427292,0.0137862,359.9715,359.9913
-0.03680003,0.6086429,-0.02130127,0.4126461,342.5121,0.5219235
-0.066118,0.608421,-0.02364385,0.7710968,317.4357,1.05601
-0.09478402,0.6075488,-0.03563344,2.333988,292.5742,1.137148
-0.09478402,0.6075488,-0.03563344,2.333988,292.5742,1.137148
-0.09104788,0.6088629,-0.01754832,1.653801,308.9767,1.085968
-0.0626595,0.6087611,-0.002159834,0.9787127,335.454,1.400082
-0.05568635,0.6085056,-0.002165139,0.6168802,339.7455,0.9608612
-0.05673158,0.6147083,0.005587995,357.7483,339.3838,0.05560562
-0.1134552,0.6108395,0.1284317,0.6374215,337.309,0.3398432
-0.1872957,0.6158832,0.2911856,0.3427366,335.984,0.4752111
-0.262215,0.6183878,0.4488393,0.9325093,334.5073,0.6747981
-0.3461274,0.6244501,0.6121516,0.8802028,333.4566,1.012056
-0.3461274,0.6244501,0.6121516,0.8802028,333.4566,1.012056
-0.3648862,0.6196322,0.7245349,0.6339096,359.8902,0.3250082
-0.3234148,0.6214424,0.7274756,359.5803,43.24228,358.2961
-0.3169045,0.6227468,0.7196344,359.8358,53.82077,357.7375
-0.2515885,0.6255639,0.7750221,359.7984,51.45554,358.3186
-0.2515885,0.6255639,0.7750221,359.7984,51.45554,358.3186
-0.1977441,0.627877,0.8597057,0.2890022,23.54868,359.1347
-0.18881,0.6285157,0.8749845,0.6872264,27.01783,358.746
-0.1983833,0.6303346,0.8828495,0.47175,23.53131,358.6838
-0.1895574,0.6293337,0.8833168,0.4486244,23.78105,358.72
-0.1717007,0.6291317,0.8622971,0.1012885,44.65264,358.0717
-0.1825465,0.6286513,0.8647151,359.9018,39.02671,358.5247
-0.2056649,0.6290151,0.8843689,359.935,11.30315,359.0834
-0.1947097,0.6281574,0.8874793,359.7259,16.52125,358.9343
-0.1726927,0.6296188,0.8687189,0.4845728,40.23363,357.9776
-0.18743,0.6300721,0.8728338,359.697,30.13083,358.1453
-0.2096212,0.6286674,0.8883696,359.7117,3.136715,359.5231
-0.2017493,0.6301328,0.8936282,359.4921,8.524747,359.5006
-0.1779579,0.6293899,0.8794676,359.8966,33.43062,358.2786
-0.190987,0.6296054,0.8791878,359.3405,25.72474,358.4682
-0.1844956,0.6292127,0.8762547,359.855,33.31932,358.7528
-0.1942642,0.6289862,0.8768365,359.7907,26.83874,358.6371
-0.1875674,0.6282508,0.8752787,0.5656528,29.26281,358.5835
-0.2004421,0.6293281,0.8778479,0.07548331,25.10042,359.5748
-0.1917226,0.6278123,0.8759992,0.6080046,28.64318,358.4922
-0.2037581,0.627522,0.879261,0.03300028,25.24335,359.1047
-0.1973315,0.6295269,0.8796837,0.2790145,27.49535,358.8601
-0.1831164,0.6311001,0.8593624,359.818,50.88733,357.6801
-0.181383,0.630477,0.8323766,0.711975,69.55122,356.9969
-0.2002528,0.626822,0.8595061,359.7083,45.0194,358.062
-0.2161951,0.6262414,0.8809803,359.915,20.54058,359.1889
-0.2345535,0.6229504,0.8968307,0.3109033,358.9445,359.9884
-0.2152618,0.6246326,0.89404,0.08761509,20.12701,359.5469
