"robot_vr.position.x","robot_vr.position.y","robot_vr.position.z","robot_vr.direction.x","robot_vr.direction.y","robot_vr.direction.z"
-0.02784026,0.6122755,-0.01101899,0.0287222,-0.000830866,359.9878
-0.02773011,0.6121708,-0.01107514,0.02634468,0.002885951,359.9873
-0.009552002,0.6119416,-0.01654661,359.6922,13.95972,359.611
0.01399755,0.6128398,-0.03890723,359.1501,33.27704,358.9019
0.03168976,0.6131759,-0.06890845,358.8195,54.10915,357.8437
0.01750267,0.6141396,-0.06409299,358.4745,44.58822,358.0345
-0.002303839,0.6136143,-0.04426038,358.8958,17.94071,358.9843
0.004318714,0.6124773,-0.0403071,359.5255,20.71244,359.4046
0.007493973,0.6128205,-0.04255146,359.2871,23.33366,359.2625
0.007493973,0.6128205,-0.04255146,359.2871,23.33366,359.2625
0.02824295,0.6124353,-0.01765513,1.214665,33.04948,359.1726
0.04657912,0.615955,-0.02956361,358.2416,55.20872,357.4276
0.04657912,0.615955,-0.02956361,358.2416,55.20872,357.4276
0.06524229,0.6174428,0.003875136,357.5652,38.78017,358.4687
0.04437184,0.6183385,0.0362103,358.9142,5.703534,359.9377
0.04715061,0.6127013,0.1009851,1.403432,4.510787,358.4263
0.04223895,0.6240962,0.2585803,359.5995,0.8847082,359.9673
0.04223895,0.6240962,0.2585803,359.5995,0.8847082,359.9673
0.06190741,0.6263474,0.3910778,359.9026,17.4275,359.3333
0.08777666,0.6281391,0.404729,358.7784,43.06289,358.4221
0.1252321,0.6326606,0.4537773,358.3982,40.51001,358.3876
0.1660833,0.6421729,0.5402464,355.0565,27.87971,357.3438
0.1660833,0.6421729,0.5402464,355.0565,27.87971,357.3438
0.1695001,0.634434,0.6294662,359.8555,12.67466,359.4263
0.1455988,0.6368968,0.6550956,359.5145,348.8102,359.4798
0.1389083,0.6375216,0.6574663,359.4128,340.6562,359.5178
0.1125998,0.6385475,0.7125232,357.8653,338.2899,359.1941
0.05509591,0.6390249,0.8334892,358.7239,336.8409,0.935123
0.05509591,0.6390249,0.8334892,358.7239,336.8409,0.935123
0.03282166,0.6424372,0.902325,358.6034,345.8908,1.084251
0.01827371,0.6395663,0.9122021,0.3305293,341.5069,0.05291559
0.03146195,0.6375095,0.9199107,359.2798,347.959,0.006353425
0.01648223,0.6342721,0.9129522,359.6844,339.2787,359.8111
0.0009691715,0.6345013,0.9160221,1.014315,319.9249,0.2720975
0.0294987,0.64451,0.9245303,359.7521,342.0445,0.3770986
0.05882442,0.6495638,0.9163121,359.2146,3.236432,359.6464
0.03258789,0.6448435,0.9129736,359.3537,341.7661,359.7295
0.05076969,0.6466188,0.9122517,359.1003,0.7062392,0.001326447
0.02741039,0.6412414,0.909699,359.7143,339.8792,0.2830225
0.04352152,0.6413709,0.9088793,359.0457,358.8023,0.409736
0.01387799,0.6362271,0.9037194,359.8452,335.0606,0.6785612
-0.006087303,0.637856,0.9041532,1.232932,314.2379,0.7763644
-0.02444673,0.6427577,0.8901476,1.52973,293.52,0.5335035
-0.0212419,0.6434653,0.9007237,1.783408,302.4337,1.220222
0.005578279,0.6473619,0.9143213,0.405722,330.4249,0.8842088
0.03834081,0.6433357,0.9075459,358.5642,2.177914,0.05334383
0.06678307,0.6374117,0.8828155,358.0801,26.76802,359.1322
0.08853352,0.6394649,0.8480252,357.9831,48.97701,357.6552
0.09861219,0.6391482,0.815331,358.6097,66.48692,356.6676
0.09308279,0.6411669,0.8308949,358.2527,54.81081,356.9055
0.07870996,0.640378,0.853905,357.7212,29.74581,358.0951
0.05688024,0.6393999,0.8741127,358.3229,2.458836,359.2714
0.02417171,0.6372055,0.8797489,359.4591,332.3584,359.782
-0.005997777,0.6358168,0.8697422,1.20711,303.6399,0.2923687
-0.003224015,0.6417898,0.8789651,0.8078282,309.1717,0.7909528
-0.01154923,0.6446122,0.8664472,1.126555,299.8354,0.473666
-0.006124139,0.6458141,0.8776388,1.349326,308.9503,0.7681639
0.01955199,0.6472889,0.8863608,359.771,334.2842,0.5554478
0.05156541,0.6451945,0.8786519,358.5512,2.697852,359.9367
0.07924509,0.6421225,0.8545868,358.3232,31.99042,358.6342
0.09388375,0.6401109,0.8169166,358.3491,60.51247,357.1128
0.1039693,0.6373124,0.7852427,359.0785,80.23641,356.5475
0.1023859,0.6391289,0.8043642,357.8924,62.86232,356.9276
0.09435761,0.6391758,0.8298523,357.9974,37.44563,357.84
0.07820475,0.6408387,0.8538299,358.3423,13.57623,359.1218
0.05446434,0.6395345,0.8703998,359.1346,349.6925,359.7994
0.02369678,0.6362426,0.8735515,0.4522668,321.4151,0.01492199
-0.003344536,0.6381503,0.8618156,1.905859,293.5699,0.2394392
-0.02244699,0.6404412,0.8403722,2.707326,267.2108,359.3298
-0.02297485,0.6438489,0.8590746,1.698767,284.9567,0.133411
-0.002817154,0.6446602,0.8828379,1.399299,309.8262,0.3766445
0.02808046,0.6448213,0.8939657,0.4724968,331.4257,0.7078882
0.05884278,0.639789,0.8904513,359.3784,353.671,0.2295963
0.08839166,0.6389529,0.8740113,358.6746,17.18554,359.4254
0.1102268,0.6403158,0.8476255,358.0966,41.17646,358.4744
0.08411729,0.6388711,0.8602123,358.618,22.39446,358.8453
0.1038753,0.6401044,0.8458385,358.0849,40.508,358.1628
0.07825267,0.6391233,0.8606277,358.999,19.09588,359.1294
0.05234778,0.6365039,0.872265,358.9489,352.9871,359.8147
0.02030933,0.6330264,0.8767533,0.4419803,329.9247,0.4560048
-0.00658834,0.6349145,0.8739651,1.495594,305.6201,0.4198946
-0.02928185,0.6380591,0.8570224,2.472246,276.5946,359.4007
-0.04370427,0.6384941,0.8290672,3.561939,250.5505,358.6356
-0.03814292,0.6387454,0.8072294,3.413574,233.0606,357.9104
-0.02849531,0.6367567,0.7823665,3.344478,207.1782,356.8421
-0.005370975,0.6404119,0.7560574,0.6897771,186.7816,356.1786
-0.005370975,0.6404119,0.7560574,0.6897771,186.7816,356.1786
-0.02825058,0.6300641,0.6976857,3.953805,205.9398,357.2347
-0.03858805,0.6294219,0.6934544,3.495872,215.2553,357.6288
-0.04557335,0.6716269,0.6919652,349.3411,220.8433,358.6086
-0.08359754,0.6400347,0.6731701,353.2399,229.7937,354.5326
-0.09156179,0.6588887,0.6297567,350.1071,229.0001,359.0045
-0.09156179,0.6588887,0.6297567,350.1071,229.0001,359.0045
-0.08935642,0.6450013,0.6047909,353.4116,233.2565,359.7307
-0.08018231,0.6405786,0.5849296,353.9081,222.3246,358.0303
-0.05524254,0.6343458,0.5358889,359.7328,192.2226,359.0527
-0.06926692,0.6200854,0.3955762,3.332929,187.4912,356.1369
-0.07952225,0.6172769,0.223107,3.0727,184.8322,356.1543
-0.08177006,0.6082208,0.04460514,3.0797,182.5099,356.7988
-0.07514298,0.6043897,-0.1341118,3.045947,180.5251,356.6862
-0.07514298,0.6043897,-0.1341118,3.045947,180.5251,356.6862
-0.04003811,0.601918,-0.2716211,2.012327,159.4332,355.4232
-0.009600163,0.6026825,-0.2881954,0.5859995,136.0715,355.4908
-0.02987731,0.6003385,-0.3006362,2.229716,159.7054,355.7039
-0.06406033,0.598659,-0.2963558,3.466998,188.5228,356.664
-0.05577958,0.6005623,-0.2925383,3.634904,189.3467,356.5121
-0.03583372,0.6012691,-0.2983416,2.396462,168.5182,356.066
-0.009715557,0.6008575,-0.3030292,1.514721,145.4402,355.5478
-0.00390625,0.5997833,-0.3139274,1.946847,143.152,355.7599
-0.02827632,0.5997574,-0.3197982,2.6801,167.633,356.1469
-0.05951309,0.5988532,-0.3104411,3.118044,193.9511,356.9383
-0.04927802,0.5993587,-0.3076688,2.719539,189.18,356.7476
-0.02792478,0.6004726,-0.3148607,2.269245,168.4943,356.3906
