"robot_vr.position.x","robot_vr.position.y","robot_vr.position.z"
-0.02852654,0.6103063,0.06297803
-0.02852654,0.6103063,0.06297803
-0.02885401,0.609421,0.06252348
-0.02709877,0.6065919,-0.04046172
-0.05826402,0.6047866,-0.0789634
-0.08236206,0.6047528,-0.08847111
-0.06479979,0.6032181,-0.07427037
-0.08797288,0.6036733,-0.08814043
-0.1112728,0.6015772,-0.1043215
-0.1293216,0.6009359,-0.1167977
-0.1575459,0.6040728,-0.1335366
-0.3011831,0.595404,-0.1733297
-0.4548464,0.5908154,-0.2140807
-0.6383615,0.5852334,-0.2715911
-0.6383615,0.5852334,-0.2715911
-0.7239597,0.5805485,-0.3356488
-0.6971697,0.5808375,-0.3817096
-0.6791409,0.5814282,-0.3928437
-0.6791409,0.5814282,-0.3928437
-0.6941302,0.5791125,-0.396666
-0.7011734,0.5799268,-0.3939604
-0.7007259,0.5804578,-0.454243
-0.6961142,0.5756972,-0.6117159
-0.6961142,0.5756972,-0.6117159
-0.6601197,0.5710491,-0.7424947
-0.6068625,0.563573,-0.7422801
-0.6254878,0.5476226,-0.7829865
-0.5607704,0.5721915,-0.7341878
-0.4090093,0.5735868,-0.7373319
-0.2351943,0.5640006,-0.7375435
-0.04562235,0.5649871,-0.7320471
0.1209372,0.5804898,-0.7247912
0.2894169,0.5952766,-0.7141492
0.4647101,0.5933987,-0.6982087
0.4647101,0.5933987,-0.6982087
0.5753664,0.6019579,-0.7142375
0.5646948,0.5985075,-0.7523983
0.5757664,0.5976944,-0.754189
0.5984715,0.6011728,-0.7500441
0.6023241,0.6012988,-0.7501209
0.6608582,0.6012926,-0.787959
0.6608582,0.6012926,-0.787959
0.7289561,0.5990435,-0.8618063
0.7389992,0.6001244,-0.8800325
0.7619482,0.6016457,-0.8853456
0.7611719,0.6004338,-0.8991539
0.7702407,0.6013573,-0.892089
0.7641388,0.5992758,-0.90237
0.7736136,0.601765,-0.8929861
0.7811755,0.6019626,-0.897739
0.7644593,0.5998547,-0.9094663
0.7612487,0.6003187,-0.9049932
0.7782863,0.5978261,-0.9002205
0.7986366,0.5944966,-0.8966964
0.8193387,0.6023517,-0.8763626
0.8334385,0.6045084,-0.8765832
0.8270656,0.6019193,-0.8994229
0.8064138,0.5998961,-0.9158659
0.7787849,0.5991479,-0.9234532
0.7533237,0.5991585,-0.9190443
0.7282269,0.5986512,-0.90556
0.734056,0.5976532,-0.900987
0.7269739,0.5974206,-0.9032282
0.7085894,0.5970598,-0.8913867
0.6953293,0.5971936,-0.8717973
0.6883892,0.5976368,-0.8515456
0.6891594,0.5975631,-0.8451269
0.6095264,0.5965391,-0.8761223
0.4575331,0.5862921,-0.9354173
0.4575331,0.5862921,-0.9354173
0.3190999,0.5821048,-0.9717808
0.2927936,0.5852495,-0.9406614
0.2400037,0.5757297,-0.9191908
0.08588314,0.5797318,-0.8577234
-0.109015,0.5895145,-0.7882848
-0.2714362,0.5891337,-0.734865
-0.4544551,0.5903113,-0.6762124
-0.4544551,0.5903113,-0.6762124
-0.5568105,0.5882171,-0.6826583
-0.5716767,0.5806013,-0.6822259
-0.5656777,0.5780785,-0.6561413
-0.5431912,0.5840802,-0.6304958
-0.5147437,0.5846457,-0.6216594
-0.5548855,0.590538,-0.5625563
-0.6452352,0.5764521,-0.4218954
-0.7470394,0.5760542,-0.2724544
-0.7470394,0.5760542,-0.2724544
-0.811595,0.5839753,-0.1506494
-0.7736229,0.5829438,-0.1286791
-0.756338,0.5842464,-0.1559228
-0.75714,0.5824958,-0.1708274
-0.75714,0.5824958,-0.1708274
-0.7588643,0.5843124,-0.1546839
-0.7599568,0.5851166,-0.1467903
-0.7091199,0.5849575,-0.1117575
-0.5758752,0.5928838,-0.01943839
-0.4376736,0.5917219,0.08129168
-0.2944775,0.6050366,0.1911249
-0.2185895,0.6087494,0.288842
-0.2560863,0.6063585,0.3255926
-0.2941024,0.6040659,0.3246429
-0.3180946,0.6049848,0.309998
-0.3299933,0.6049714,0.2820724
-0.3324433,0.6028525,0.2536656
-0.3270899,0.6054916,0.2255377
-0.3206921,0.6007872,0.1937648
-0.2985421,0.6051586,0.1713785
